Time , PGN , DA , SA , Prioirty , Data
1547753780.392445 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753780.393671 , 61184 , 0 , 6 , 1 , 64 15 18 F0 04 19 93 0E 
1547753780.39717 , 61443 , 255 , 0 , 3 , FF 00 24 FF 06 FF FF FF 
1547753780.397674 , 61184 , 255 , 0 , 3 , 64 06 2F 7D FF FF FF FF 
1547753780.407198 , 61444 , 255 , 0 , 3 , F0 FF 9D 22 1C FF FF FF 
1547753780.40778 , 65247 , 255 , 0 , 6 , 8A 20 1C FF FF FF FF FF 
1547753780.4123 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753780.413471 , 61184 , 0 , 6 , 1 , 64 15 19 F0 0B 19 93 0E 
1547753780.414046 , 65097 , 255 , 71 , 3 , FF FF FF FF FF FF FF FF 
1547753780.414646 , 65091 , 255 , 71 , 3 , 00 00 FF FF 3F FF FF FF 
1547753780.415245 , 65092 , 255 , 71 , 3 , 00 00 FF FF 3F FF FF FF 
1547753780.415843 , 65534 , 255 , 6 , 3 , 5C 27 1D 27 1D FF FF FF 
1547753780.417171 , 61443 , 255 , 0 , 3 , FF 00 23 FF 06 FF FF FF 
1547753780.41774 , 61184 , 255 , 0 , 3 , 64 06 2D 7D FF FF FF FF 
1547753780.418323 , 65266 , 255 , 0 , 6 , 21 00 FF FF FF FF FF FF 
1547753780.427138 , 61444 , 255 , 0 , 3 , F0 FF 9D 20 1C FF FF FF 
1547753780.432238 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753780.433475 , 61184 , 0 , 6 , 1 , 64 15 1A F0 0B 19 93 0E 
